Accident_ID,Date,City,Area,Latitude,Longitude,Weather_Condition,Road_Type,Vehicle_Type,Traffic_Level,Light_Condition,Speed_kmph,Driver_Age,Alcohol_Involved,Seatbelt_Helmet_Used,Number_of_Vehicles,Casualties,Accident_Severity
BRD00001,2024-05-05,Vadodara,Gotri,22.26814,73.115374,Clear,Highway,Auto,Low,Night,119,20,0,0,2,2,Medium
BRD00002,2024-10-14,Vadodara,Gotri,22.343083,73.205199,Rainy,Residential,Car,High,Night,102,55,1,0,2,0,Medium
BRD00003,2024-04-20,Vadodara,Tarsali,22.293757,73.113912,Cloudy,Highway,Truck,Medium,Night,60,56,1,0,4,1,Low
BRD00004,2024-05-30,Vadodara,Sama,22.331723,73.232818,Clear,Flyover,Auto,Medium,Daylight,35,63,0,0,2,4,Low
BRD00005,2024-02-21,Vadodara,Sayajigunj,22.286137,73.195353,Fog,Flyover,Car,Low,Night,54,40,0,1,1,6,Medium
BRD00006,2024-03-24,Vadodara,Fatehgunj,22.299329,73.248429,Rainy,City Road,Truck,High,Daylight,118,32,0,1,4,1,High
BRD00007,2025-03-24,Vadodara,Vasna,22.290908,73.198316,Fog,Residential,Bus,Low,Daylight,52,34,0,0,5,4,Medium
BRD00008,2025-04-04,Vadodara,Harni,22.301922,73.132898,Fog,City Road,Auto,High,Night,99,23,0,0,2,3,High
BRD00009,2024-02-02,Vadodara,Sayajigunj,22.299611,73.249418,Rainy,Flyover,Auto,High,Daylight,79,61,0,1,3,4,High
BRD00010,2024-08-20,Vadodara,Alkapuri,22.373996,73.231378,Clear,Flyover,Auto,Medium,Daylight,80,50,0,1,5,1,Low
BRD00011,2024-03-23,Vadodara,Nizampura,22.373955,73.238365,Rainy,Highway,Auto,Low,Night,72,49,0,0,3,6,Medium
BRD00012,2025-03-25,Vadodara,Harni,22.373103,73.112848,Fog,Residential,Bike,Low,Evening,32,26,0,1,5,1,Low
BRD00013,2024-11-06,Vadodara,Sayajigunj,22.375367,73.239337,Rainy,City Road,Truck,Medium,Night,92,60,1,1,5,6,High
BRD00014,2024-02-02,Vadodara,Waghodia,22.252734,73.183088,Cloudy,City Road,Bike,Low,Daylight,56,63,0,0,1,1,Low
BRD00015,2024-05-01,Vadodara,Akota,22.336967,73.132136,Clear,City Road,Auto,Medium,Evening,34,48,0,1,4,4,Low
BRD00016,2024-08-08,Vadodara,Waghodia,22.305065,73.170054,Rainy,Highway,Bike,Low,Daylight,37,43,1,0,2,5,Medium
BRD00017,2024-03-12,Vadodara,Sayajigunj,22.273853,73.169394,Rainy,Highway,Bus,Low,Evening,93,24,0,0,1,3,Medium
BRD00018,2024-09-03,Vadodara,Gotri,22.362405,73.235366,Rainy,City Road,Bus,Low,Daylight,77,42,1,1,3,3,Medium
BRD00019,2024-10-11,Vadodara,Makarpura,22.343393,73.12322,Cloudy,Flyover,Car,High,Daylight,118,55,0,1,1,6,High
BRD00020,2025-04-15,Vadodara,Sama,22.319046,73.108532,Clear,Highway,Car,High,Daylight,86,56,0,0,4,4,Medium
BRD00021,2024-10-31,Vadodara,Alkapuri,22.33052,73.162884,Clear,Flyover,Truck,High,Daylight,56,60,1,0,3,4,Medium
BRD00022,2024-06-02,Vadodara,Fatehgunj,22.291103,73.21278,Cloudy,Highway,Bike,Low,Night,110,57,0,0,5,5,Medium
BRD00023,2025-04-22,Vadodara,Waghodia,22.364512,73.231891,Rainy,Flyover,Truck,High,Daylight,58,46,1,0,5,1,Medium
BRD00024,2024-05-15,Vadodara,Manjalpur,22.365663,73.211363,Fog,City Road,Truck,High,Night,38,56,0,1,2,1,Medium
BRD00025,2025-04-08,Vadodara,Sama,22.256604,73.195143,Fog,Flyover,Bike,High,Daylight,87,39,0,1,2,2,Medium
BRD00026,2024-10-14,Vadodara,Alkapuri,22.264544,73.241758,Cloudy,City Road,Auto,High,Daylight,115,41,0,1,2,3,Medium
BRD00027,2025-05-12,Vadodara,Sama,22.255186,73.153671,Clear,City Road,Bike,Medium,Night,71,53,1,0,2,6,Medium
BRD00028,2024-04-01,Vadodara,Vasna,22.370183,73.217358,Rainy,Residential,Car,Low,Night,77,28,0,1,1,0,Low
BRD00029,2025-04-15,Vadodara,Fatehgunj,22.295456,73.22308,Cloudy,City Road,Car,Low,Daylight,50,60,0,1,3,6,Low
BRD00030,2024-11-24,Vadodara,Nizampura,22.301958,73.247172,Fog,Flyover,Bike,Low,Daylight,60,34,0,1,1,2,Low
BRD00031,2025-01-08,Vadodara,Tarsali,22.290778,73.190931,Clear,Highway,Bus,High,Evening,80,30,1,0,4,2,Medium
BRD00032,2025-01-03,Vadodara,Vasna,22.345815,73.129555,Clear,Residential,Bike,High,Evening,93,39,1,0,3,5,High
BRD00033,2024-07-25,Vadodara,Vasna,22.288435,73.119093,Fog,Residential,Bus,High,Evening,77,65,0,1,4,2,Medium
BRD00034,2024-08-08,Vadodara,Tarsali,22.325398,73.198206,Clear,Residential,Bus,Medium,Night,61,61,0,1,2,1,Low
BRD00035,2024-11-20,Vadodara,Harni,22.293574,73.222764,Clear,City Road,Truck,Medium,Daylight,90,30,0,0,1,5,Medium
BRD00036,2025-01-28,Vadodara,Manjalpur,22.309204,73.232921,Rainy,City Road,Bus,Medium,Night,103,43,0,0,1,6,High
BRD00037,2025-02-15,Vadodara,Vasna,22.317335,73.107533,Clear,City Road,Bike,Medium,Night,53,26,1,1,4,1,Low
BRD00038,2025-01-15,Vadodara,Sama,22.311708,73.138879,Cloudy,City Road,Truck,High,Evening,82,49,0,1,4,1,Medium
BRD00039,2024-05-19,Vadodara,Waghodia,22.291562,73.181023,Clear,City Road,Car,High,Daylight,61,42,0,0,1,1,Medium
